video_id,title,published_at,description,channel_title,channel_id,category_id,view_count,like_count,comment_count,view_velocity,engagement_ratio,title_keywords,description_keywords
rPjonp7kRvI,🥭 Summer Special Aam Panna Recipe#shorts #food #recipe #foodie #eveningsnacks #loveneetvalecha,2026-06-08T14:30:02Z,"🥭 Summer Special Aam Panna Recipe#shorts #food #recipe #foodie #eveningsnacks #loveneetvalecha

@loveneetvalecha",Food Vlog CD,UCmNAuqCVW2BX6-3t2EVWs-w,26,926,0,15,925.1809362891244,0.0161987041036717,"[('aam panna', 0.6245)]","[('aam panna', 0.6047), ('eveningsnacks loveneetvalecha', 0.518), ('panna', 0.4824), ('foodie eveningsnacks', 0.4761), ('summer special', 0.4366)]"
0F9N9vI_Ydk,Healthy Habit By Nitesh Soni Ji #food #acharya #manish #viral #recipe #shortsfeed #shorts,2026-06-08T14:30:27Z,,POONAM KI RASOI,UCrLT-YjLmunMUiIWsy_utGA,26,735,19,0,739.4806190631255,0.0258503401360544,"[('habit nitesh', 0.515)]",[]
s8xDDF-jI3Q,😋👌 Healthy and Tasty kambu Adai Recipe/#shorts #cooking #food #recipe #shortsvideo #shortafeed,2026-06-08T14:22:56Z,😋👌 Healthy and Tasty kambu Adai Recipe/#shorts #cooking #food #recipe #shortsvideo #shortafeed,Tamil Mani Channel,UCTw2oy9o__mfcF2_94cnJow,22,662,5,0,591.4840761462144,0.0075528700906344,"[('kambu adai', 0.6567), ('tasty kambu', 0.6556)]","[('kambu adai', 0.6567), ('tasty kambu', 0.6556), ('kambu', 0.5406), ('healthy tasty', 0.4722)]"
A5AJmPPnjgQ,सुबह खाना बनाने की छुट्टी perfect लंच डिनर | #shorts #ytshorts #recipe #food,2026-06-08T14:18:38Z,"सुबह खाना बनाने की छुट्टी perfect लंच डिनर | #shorts #ytshorts #recipe #food
Kavita Food Corner 
@KavitaFoodCorner",Kavita Food Corner,UCu5IB0KfwPHTeI_Gvdpy7aA,26,4422,92,0,3713.203946571696,0.0208050655811849,"[('बह बन', 0.4725), ('बह', 0.4303)]","[('बह बन', 0.4943), ('corner kavitafoodcorner', 0.4804), ('kavitafoodcorner', 0.4776), ('बह', 0.444), ('बन perfect', 0.4374), ('बन', 0.4345), ('kavita', 0.4241)]"
7iiRlGcXTEs,Pani Puri Khane Me Papa Aa Gaye 😳 - #cooking #food #vlog #recipe #dailyvlog #comedy #panipuri,2026-06-08T14:12:16Z,#cooking #food #vlog #recipe #dailyvlog #comedy #panipuri,mukesh janjar dance 97k views.,UCcm4UOm_n67XgaYPi3IKzQA,24,2395,0,0,1846.5741134137,0.0,"[('pani puri', 0.6966), ('pani', 0.628), ('khane papa', 0.5883)]","[('comedy panipuri', 0.6355), ('panipuri', 0.59), ('dailyvlog comedy', 0.4582)]"
PEky4dj2-LY,Галета с клубникой#рецепт #еда,2026-06-08T14:13:29Z,"🍓 ТВОРОЖНАЯ ГАЛЕТА С КЛУБНИКОЙ 🍓

Сезон клубники в самом разгаре, а значит пора готовить простые и вкусные десерты!

Для теста нам понадобится:
• творог — 200 г;
• яйцо — 1 шт.;
• рисовая мука — 60 г (можно использовать любую муку, которая вам нравится);
• сахарозаменитель — по вкусу.

Все ингредиенты перемешиваем и замешиваем тесто. Формируем галету мокрыми руками и выкладываем на противень, застеленный пергаментной бумагой.

Для начинки:
• йогурт Теос 2% — 120 г;
• кукурузный крахмал — 10 г.

Смешиваем йогурт с крахмалом и распределяем по основе. Сверху выкладываем 100–120 г свежей клубники.

Я использую клубнику прямо с огорода — аромат и вкус просто невероятные! 🍓

Готовим в аэрогриле при 180°C около 20 минут. Если выпекаете в духовке, заранее разогрейте её до 180°C и выпекайте галету 20–25 минут.

✅КБЖУ 143/13/3/16 на 100 грамм
Смело можно есть 300 грамм и быть сытым 4 часа🔥🔥🔥
Приятного аппетита! ❤️",СТРОЙНЕЕМ ВМЕСТЕ ИРИНА ШУБИНА КАЗАХСТАН,UCCpLVaqGG-FL3Xdgc_pChyA,22,2535,174,14,1985.558862860248,0.0741617357001972,"[('галета клубникой', 0.843), ('клубникой рецепт', 0.8321), ('рецепт еда', 0.7813)]","[('творог 200', 0.4062), ('шт рисовая', 0.3949), ('пора готовить', 0.393), ('йогурт теос', 0.387), ('готовить простые', 0.3781), ('аромат вкус', 0.3761), ('готовить', 0.376), ('невероятные готовим', 0.3757), ('йогурт', 0.3752), ('100 грамм', 0.375)]"
WY2qseSvtYc,Protein Maggi ☺️ | #shorts #lifestyle #friedmaggi #recipe #cooking #vlog #dailyvlog,2026-06-08T14:07:35Z,Protein Maggi ☺️ | #shorts #lifestyle #friedmaggi #recipe #cooking #vlog #dailyvlog,YUMMY FOODS WITH MONIKA,UCWtUTDKQIJuc0lCi8m_g76A,26,3381,151,8,2458.8161605732153,0.0470275066548358,"[('protein maggi', 0.6698)]","[('protein maggi', 0.6698), ('maggi', 0.5644), ('lifestyle friedmaggi', 0.5044), ('friedmaggi', 0.4817), ('protein', 0.4627)]"
-RpjI-vEHCk,10 Mint Wala Secret Butter Paneer Recipe  #shorts #recipe #cooking #food #dailyvlog #vlog,2026-06-08T14:03:12Z,,Anu Shukla,UCGaNhgQjPkHH9DuEm-g9PFA,24,1148,17,3,792.7588121063487,0.0174216027874564,"[('butter paneer', 0.6734), ('paneer', 0.5992)]",[]
K_rLK3IxZxU,Mummy ने बनाया Watermelon mojito😋#foodvlog #familyvlog #recipe #cooking #mojito,2026-06-08T13:56:39Z,Mummy ने बनाया Watermelon mojito😋#foodvlog #familyvlog #recipe #cooking #mojito #watermelon #recipes #foodie #minivlog,Sourabh Munjal,UCvV_TB0V1A1asEJFm5cu6hA,24,72886,1794,9,46803.57541917522,0.0247372609280245,"[('बन watermelon', 0.5856), ('mojito foodvlog', 0.5729), ('mummy बन', 0.5636)]","[('बन watermelon', 0.6131), ('mummy बन', 0.5613), ('watermelon mojito', 0.5432), ('mojito watermelon', 0.5423), ('mojito foodvlog', 0.536), ('watermelon', 0.4794), ('foodie minivlog', 0.4401), ('foodvlog familyvlog', 0.4321), ('foodvlog', 0.4264), ('mummy', 0.4256)]"
4J9SKwi0C8Y,best baigan fry recipe🤗 #youtube #food #shots #baiganmasala #baigan #foodie #recipe #shots #ytshorts,2026-06-08T13:50:37Z,best baigan fry recipe #youtube #food #shots #baiganmasala #baigan #foodie #recipe #shots #ytshorts #healtyfood #shots,cook_at_home0818,UC5uHYEyUsZQgRjT8ZXtoV4g,22,38487,0,1,23215.291017174153,2.5982799386805936e-05,"[('baigan fry', 0.7756), ('baigan foodie', 0.749), ('best baigan', 0.7305)]","[('baigan fry', 0.761), ('baigan foodie', 0.7324), ('best baigan', 0.705), ('baiganmasala baigan', 0.6675), ('baigan', 0.667), ('shots baiganmasala', 0.6464), ('baiganmasala', 0.6211)]"
CL1V8cEJ4G0,Street style bread pakode recipe #bread #pakoda #recipe #cooking #viralvideo #shorts #food #foodie,2026-06-08T13:48:40Z,"Disclaimer: The video is for educational purposes only. Copyright Disclaimer under section 107 of the copyright Act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",Nitu's Cookery,UChN6mOiBiTCsIBG6gsJvz7A,22,2386,33,0,1411.558902204493,0.0138306789606035,"[('bread pakode', 0.7437), ('bread pakoda', 0.7325), ('style bread', 0.6017)]","[('copyright disclaimer', 0.6475), ('disclaimer video', 0.6215), ('purposes copyright', 0.5687), ('permitted copyright', 0.5663), ('107 copyright', 0.5422), ('copyright', 0.525), ('copyright statute', 0.5102), ('copyright act', 0.503), ('use permitted', 0.4926), ('disclaimer section', 0.4761)]"
8gMxIvM2gqY,Kurkure ki Bhel 😋 #cooking #bhel #recipe #dailyvlog #food #funny #comedy,2026-06-08T13:45:12Z,Kurkure ki Bhel 😋 #cooking #bhel #recipe #dailyvlog #food #funny #comedy,Crazy Monu 09,UCdrr8uLkfLPk0rMGuvTkg_Q,22,5760,0,0,3294.991825798389,0.0,"[('kurkure ki', 0.6664), ('ki bhel', 0.6202), ('kurkure', 0.6036)]","[('kurkure ki', 0.6664), ('ki bhel', 0.6202), ('kurkure', 0.6036), ('ki', 0.4646), ('bhel', 0.4546)]"
dDoN5CwZ3mk,Jawa Plum Fruit Ki Jabardast Jelly Recepie  #food #recipe #cooking #jackfruit #chicken #chinesefood,2026-06-08T13:30:23Z,Jawa Plum Fruit Ki Jabardast Jelly Recepie  #food #recipe #cooking #jackfruit #chicken #chinesefood,Cooking Recipes ,UC2_lTfcMQz2V7K3J3h0v51A,22,3446,0,1,1727.273301977384,0.0002901915264074,"[('fruit ki', 0.6209), ('plum fruit', 0.6013), ('jawa plum', 0.5814)]","[('fruit ki', 0.6209), ('plum fruit', 0.6013), ('jawa plum', 0.5814), ('fruit', 0.5407), ('plum', 0.4623), ('chinesefood', 0.4623), ('jawa', 0.456), ('jackfruit chicken', 0.4487), ('jabardast jelly', 0.4443)]"
TLpby3_rAAU,Who Knew Raw Jackfruit Could Turn Into This? 🤯 #Shorts #Recipe,2026-06-08T13:30:32Z,"Who Knew Raw Jackfruit Could Turn Into This? 🤯 #Shorts #Recipe
Have you ever wondered what you can make with raw jackfruit? 🤔 We turned a sticky raw jackfruit into crispy and delicious jackfruit tikkis using a simple traditional method! 🌿🥭✨ Watch the full transformation from start to finish and discover an amazing hidden food story. If you love unique village recipes and satisfying food transformations, you're in the right place! ❤️

Like 👍 Share 📲 and Subscribe 🔔 for more hidden food stories and traditional Indian recipes.
#shorts #ytshorts #food #foodstory #jackfruit #rawjackfruit #jackfruitrecipe #tikki #snack #indianfood #streetfood #villagefood #traditionalfood #foodie #cooking #recipe #viral #trending #asmrfood #homemade",Recipe Revamp,UCW77UWH3VuKhRJWi49WiVxw,26,985,50,3,494.3409336011122,0.0538071065989847,"[('raw jackfruit', 0.7497), ('jackfruit', 0.6104)]","[('raw jackfruit', 0.5994), ('jackfruit tikkis', 0.5714), ('jackfruitrecipe tikki', 0.566), ('delicious jackfruit', 0.5647), ('foodstory jackfruit', 0.5582), ('indian recipes', 0.5414), ('jackfruit rawjackfruit', 0.5386), ('jackfruit crispy', 0.5316), ('snack indianfood', 0.5117), ('rawjackfruit jackfruitrecipe', 0.4903)]"
nEP-H-eTeiY,കഴിക്കുന്ന പരുവത്തിൽ കിട്ടി😜😍#flop #brownie #recipe #shorts,2026-06-08T13:30:12Z,,Th@ttikootal☀️,UCq_O3mosNxbzJycSXkaUhUA,22,5333,353,5,2669.025534273175,0.0671291955747234,"[('flop brownie', 0.6165), ('വത flop', 0.548)]",[]
a6sSndKlRi4,कुळीथ पिठीची भाजणी #kokan #recipe #traditional #shortsfeed #yshorts #shorts,2026-06-08T13:15:13Z,कुळीथ पिठीची भाजणी #kokan #recipe #traditional #shortsfeed #yshorts #shorts,Aamhi malvani  ( आम्ही मालवणी ),UCwV_QuHUogPhQd_-dBoquiQ,22,33657,942,16,14973.109091801613,0.028463618266631,"[('जण kokan', 0.5473), ('traditional shortsfeed', 0.4733)]","[('जण kokan', 0.5473), ('traditional shortsfeed', 0.4733), ('जण', 0.4447), ('shortsfeed yshorts', 0.4275), ('kokan', 0.4052), ('shortsfeed', 0.3704)]"
7netSw0gNIw,"Before Making Gobhi Manchurian, Watch this #shots #indianrecipe #cooking #recipe",2026-06-08T13:10:40Z,"Crispy fried gobhi tossed in that spicy, tangy Manchurian sauce — pure street-style magic at home 🤤🔥🌶️ Perfect starter, party snack, or whenever you're craving desi-Chinese!
Save this for your next snack craving ❤️
Ingredients for Gobi Manchurian:  
• Gobhi – 500g
• Salt – 1tsp 
• Corn flour – ½ cup 
• All purpose flour – ½ cup 
• Kashmiri Red chili powder – 1tbsp 
• Black pepper powder -1 tsp 
• Salt – 1 tsp 
• Water – 4 tbsp 
• Oil for frying 
------------------
• Green chili – 2 
• Garlic cloves – 6-7
• Ginger – 1 inch 
• Oil – 1tbsp 
• Onion -1 
• Shimla mirch -1
• Kashmiri Red chili powder - 1tsp
• Black pepper powder – 1tsp 
• Salt -1/2 tsp 
• Soya sauce – 2 tbsp 
• Red chili sauce – 1 tsp 
• Tomato ketchup - 2 tbsp
• Corn flour – 1tsp 
• Water - 4 tbsp 
• Sesame seed 
Like 👍 | Comment dry or gravy? 💬 | Subscribe for more desi-Chinese recipes 🔔
#GobhiManchurian #GobiManchurian #IndoChinese #shorts #BitanisKitchen #StreetFood #manchurian #asmrcooking #snackrecipe #vegstarter",Bitani's Kitchen,UCfMv2UB8bWjhAKZaJMeEH3Q,22,5253,78,3,2260.654760031665,0.0154197601370645,"[('gobhi manchurian', 0.6592), ('making gobhi', 0.6208)]","[('chili sauce', 0.6047), ('recipes gobhimanchurian', 0.5865), ('manchurian sauce', 0.5768), ('chinese recipes', 0.5645), ('ingredients gobi', 0.5608), ('chili garlic', 0.5596), ('fried gobhi', 0.5387), ('chili powder', 0.5291), ('chili', 0.5093), ('red chili', 0.5049)]"
H8jUf9_yzCM,#tofu #recipe #koreanlife #shorts,2026-06-08T13:11:53Z,"#tofu  #두부강정  #recipe  #mylifestyle    #bangladesh   #korea  #southkorea #bangladeshivloggerinsouthkorea  #village #villagevlog #love #life #style #koreanhusband  #son  #kalponasouthkorea  #koreavlog #vloginkorea   

l love cooking n traveling .. l love Bangladesh n South Korea . this vlog is my korean life style .
my facebook page  .. #kalponasouthkorea  #kolisouthkoreavlog 
my youtube channel  #kalponasouthkorea  #pochakoreavlog   #kolikalponasouthkorea  
tiktok id .. #kolikalponasouthkorea   .. only one id 
instagram id .. #kalponasouthkorea (  #kolikalponasouthkorea  ) only one id 
thankyou so much for you support n love  .. thankyou so much",Kalpona South Korea,UCXaP-UftW3J_Q9rjp6SGZng,22,6325,395,3,2745.9583062151764,0.0629249011857707,[],"[('kalponasouthkorea koreavlog', 0.58), ('vlog korean', 0.5349), ('style koreanhusband', 0.5156), ('koreavlog', 0.5133), ('korean life', 0.5055), ('korea vlog', 0.5054), ('koreavlog vloginkorea', 0.4942), ('korean', 0.4882), ('villagevlog love', 0.4716)]"
23H4wIjBNuw,🫑हरी मिर्च और अंडे की ऐसी रेसिपी!🔥 #cooking #recipe #food #homemade,2026-06-08T13:05:21Z,,Cooking Guru Hindi,UCGHQ6FbmkWI0Gy5NA3iQUhw,26,778,20,0,322.51723424524977,0.0257069408740359,"[('हर और', 0.5413), ('हर', 0.4766)]",[]
jbMGcZUkbzo,Teekhi Chatpati Pani Puri 🥵 #spicypanipuri #foodvlog #golgappa #foodie #recipe #foodiefromgwalior,2026-06-08T13:00:10Z,Teekhi Chatpati Pani Puri 🥵 #spicypanipuri #foodvlog #golgappa #streetfood #puchka #homemadegolgappe #foodie #recipe #foodiefromgwalior,Foodie From Gwalior,UCIt6EZAqmCUWd9TRYYma0LA,26,2499,109,1,1000.1348405529172,0.0440176070428171,"[('spicypanipuri foodvlog', 0.625), ('puri spicypanipuri', 0.6104)]","[('teekhi chatpati', 0.6137), ('puchka homemadegolgappe', 0.5894), ('streetfood puchka', 0.5754), ('puri spicypanipuri', 0.5707), ('pani puri', 0.5702), ('teekhi', 0.5427), ('foodiefromgwalior', 0.5412), ('spicypanipuri foodvlog', 0.5345), ('chatpati pani', 0.5313)]"
9f_xRtNG_C8,পাস্তা দিয়ে এটা কি বানালাম😁 #explore #cook #recipe #cooking #foodie #bengali #viral #food #village,2026-06-08T12:47:01Z,,Rachana’s Mother ,UCa_-jW0TaZsGT4_L5kPy6kg,22,31836,1005,6,11713.758027728249,0.0317565020731247,"[('foodie bengali', 0.6156), ('bengali', 0.5652)]",[]
Ly2J-9OWpN4,Let’s make Mango 🥭 noodles 🍜 / Simple mango recipes / Ghamu Saran #shorts #recipe,2026-06-08T12:48:28Z,"Your Queries :-

What can I do with a lot of mangos?
Is mango good for prediabetic?
What recipes can I make with mango?
Is raw mango good for liver cirrhosis patients?

Highlights-

Best mango recipes indian

Mango recipes dessert

Simple mango recipes

Ripe mango recipes Indian

Savoury recipes with mango

Main course recipes with mango
#mangorecipe #summerspecial #ghamusaranshorts #yummy #viral",घमु Saran,UC3U1vy0Qk-UTkDrKEc07D1g,26,25420,1629,38,9436.963441799677,0.0655782848151062,"[('mango noodles', 0.7073), ('mango recipes', 0.6521), ('make mango', 0.6124)]","[('mango recipes', 0.6724), ('recipes mango', 0.6633), ('make mango', 0.6279), ('mangos mango', 0.603), ('mangos', 0.5835), ('mango good', 0.5749), ('mango', 0.5683), ('indian mango', 0.5639), ('raw mango', 0.5613), ('mango raw', 0.5483)]"
b7UIt-5kYFE,Crispy Mini Potato Balls Recipe #shorts #potato #snacks #recipe #trending #viral #shortsfeed #food,2026-06-08T12:43:27Z,"🥔 Crispy Mini Potato Balls Recipe | Crunchy Bite-Sized Snack | Easy Tea Time Recipe
#shorts #potato #snacks #recipe #trending #viral #shortsfeed #food #potatorecipe #shortsfeed #shortvideo #viralvideo 

Learn how to make Crispy Mini Potato Balls at home with this simple and delicious recipe. These mini potato balls are made with boiled potatoes, corn flour, and spices, then deep-fried until perfectly golden and crispy.

This easy potato snack is crunchy on the outside, soft on the inside, and packed with spicy flavors. Perfect for tea time, parties, or whenever you're craving a quick and tasty snack.

Follow this easy recipe to make crispy mini potato balls that everyone will love.

✨ Perfect for:
• Evening tea time snack ☕
• Kids favorite snack
• Party starter 🎉
• Quick potato recipe
• Crispy homemade snack


🥔 Ingredients
Boiled potatoes, corn flour, chilli flakes, red chilli powder, black salt, oil for frying


Keywords
crispy mini potato balls recipe, potato balls recipe, mini potato bites, crispy potato snack, easy potato recipe, crunchy potato balls, spicy potato balls, tea time snack recipe, homemade potato balls, viral potato snack, mini potato balls recipe, potato balls recipe, crispy potato balls, spicy potato balls recipe, mini aloo balls recipe, crunchy potato bites recipe, easy potato snack recipe, potato snacks for tea time, viral potato balls recipe, potato balls without breadcrumbs, corn flour potato balls recipe, crispy aloo bites recipe, bite sized potato snack, homemade potato balls recipe, spicy mini potato balls, crispy potato appetizer recipe, potato party snack recipe, aloo balls recipe, viral potato snack recipe, quick potato snacks at home, crispy potato finger food, tea time potato snacks, mini crispy aloo balls, street style potato balls recipe.


#food​ #foodie​ #youtubeshorts​ #ytshorts​ #crispy​ #crunchy​ #snacks​ #shortsvideo​
#PotatoBalls #CrispyPotato #PotatoSnack #EveningSnacks #SnackRecipe #FoodShorts #EasyRecipe #PotatoRecipe 🥔🔥😋",Khanapanti Vlog,UCIjLO3uy3U-IpqrvYjWpCUg,26,7868,160,6,2832.9935979421607,0.0210981189628876,"[('potato snacks', 0.6516), ('potato balls', 0.6461)]","[('potato snacks', 0.5473), ('potato snack', 0.5469), ('shortsvideo potatoballs', 0.5194), ('potatoballs crispypotato', 0.5034), ('homemade snack', 0.5005), ('potatoballs', 0.4932), ('potato balls', 0.486)]"
oeaVeVucDoE,Viral Raj Bhog Icecream #ytshorts #rajbhog #trending #icecream #recipe #viral,2026-06-08T12:43:07Z,"Viral Raj Bhog Icecream #ytshorts #rajbhog #trending #icecream #recipe #viral 

viral rajbhog icecream recipe 
viral raj bhog icecream 
viral rajbhog ice cream recipe 
rajbhog icecream recipe 
royal rajbhog icecream recipe 
viral rajbhog icecream 
rajbhog icecream hindi recipe 
raj bhog icecream 
rajbhog icecream detail recipe 
instant rajbhog icecream recipe 
homemade rajbhog icecream recipe 
most viral rajbhog icecream 
viral icecream recipe from rusk 
viral icecream recipe 
viral rajbhog icecream kaise banayein 
raj bhog icecream 
zesty cookeries 
rusk biscuit icecream",Zesty Cookeries,UCqeLwIxjqniBCPup69LxhdA,26,25512,0,5,9167.64672389502,0.0001959862025713,"[('bhog icecream', 0.6058), ('raj bhog', 0.577)]","[('rajbhog icecream', 0.5877), ('icecream rajbhog', 0.579), ('rajbhog ice', 0.5573), ('raj bhog', 0.4828), ('bhog icecream', 0.4785), ('rajbhog', 0.4685)]"
c5ndnmt6CnM,Mushroom biryani 😋#newrecipe #recipe #cookingshorts #monalisacooking #ytshorts #shortvideo,2026-06-08T12:35:23Z,Mushroom biryani 😋#newrecipe #recipe #cookingshorts #monalisacooking #ytshorts #shortvideo,Monalisa cooking,UCI6sHocfx9eCskyUWDr8MMA,22,18735,994,8,6434.3442317443005,0.0534827862289831,"[('mushroom biryani', 0.6238), ('cookingshorts monalisacooking', 0.5735), ('mushroom', 0.4901)]","[('mushroom biryani', 0.6238), ('cookingshorts monalisacooking', 0.5735), ('mushroom', 0.4901), ('biryani newrecipe', 0.4898), ('monalisacooking', 0.4686), ('biryani', 0.4345)]"
